"EID"	"IFSMS 2004"	"IFSMS 2007"	"IFSMS 2010"	"IFSMS 2013"	"IFSMS 2016"	"IFSMS 2019"	"Sum"
"2-s2.0-0037623901"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-25144434984"	2005	2005	NA	NA	NA	NA	2
"2-s2.0-0037691939"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-0141990747"	2003	2003	NA	NA	NA	NA	2
"2-s2.0-34347216724"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-37649009034"	NA	2008	2008	NA	NA	NA	2
"2-s2.0-34547365050"	NA	2007	2007	NA	NA	NA	2
"2-s2.0-37649022048"	NA	2008	2008	NA	NA	NA	2
"2-s2.0-77952287705"	NA	NA	2010	2010	NA	NA	2
