JounalTitle	JounalAbbreviation
2012 INTERNATIONAL CONFERENCE ON INTELLIGENCE SCIENCE AND INFORMATION ENGINEERING	ADV INTEL SYS RES
3RD INTERNATIONAL WORKSHOP ON MINE HAZARDS PREVENTION AND CONTROL	ADV INTEL SYS RES
7TH INTERNATIONAL CONFERENCE ON PRACTICAL APPLICATIONS OF AGENTS AND MULTI-AGENT SYSTEMS PAAMS 2009	ADV INTELL SOFT COMP
10TH INTERNATIONAL CONFERENCE ON SOFT COMPUTING MODELS IN INDUSTRIAL AND ENVIRONMENTAL APPLICATIONS	ADV INTELL SYST
7TH INTERNATIONAL CONFERENCE ON KNOWLEDGE MANAGEMENT IN ORGANIZATIONS: SERVICE AND CLOUD COMPUTING	ADV INTELL SYST
8TH INTERNATIONAL CONFERENCE ON PRACTICAL APPLICATIONS OF COMPUTATIONAL BIOLOGY & BIOINFORMATICS PACBB 2014	ADV INTELL SYST
1ST INTERNATIONAL CONFERENCE ON NEW MATERIALS FOR EXTREME ENVIRONMENTS	ADV MAT RES
"11TH INTERNATIONAL FATIGUE CONGRESS, PTS 1 AND 2"	ADV MATER RES-SWITZ
2ND INTERNATIONAL CONFERENCE ON SUSTAINABLE MATERIALS ICOSM 2013	ADV MATER RES-SWITZ
"7TH INTERNATIONAL CONFERENCE ON STRUCTURAL ANALYSIS OF HISTORIC CONSTRUCTIONS: STRENGTHENING AND RETROFITTING, PTS 1 AND 2"	ADV MATER RES-SWITZ
"7TH INTERNATIONAL CONFERENCE ON STRUCTURAL ANALYSIS OF HISTORIC CONSTRUCTIONS: STRENTHENING AND RETROFITTING, PTS 1 AND 2"	ADV MATER RES-SWITZ
"1989 ADVANCES IN POWDER METALLURGY, VOLS 1-3"	ADV POW MET
"2014 INTERNATIONAL CONFERENCE ON ENVIRONMENTAL POLLUTION AND PUBLIC HEALTH EPPH 2014, VOL 3"	ADV PUB ENV OCCUP H
"2014 INTERNATIONAL CONFERENCE ON PSYCHOLOGY AND PUBLIC HEALTH PPH 2014, VOL 4"	ADV PUB ENV OCCUP H
"2014 INTERNATIONAL CONFERENCE ON PSYCHOLOGY AND PUBLIC HEALTH PPH 2014, VOL 5"	ADV PUB ENV OCCUP H
2012 6TH ADVANCED SATELLITE MULTIMEDIA SYSTEMS CONFERENCE ASMS AND 12TH SIGNAL PROCESSING FOR SPACE COMMUNICATIONS WORKSHOP SPSC	ADV SAT MULTMED SYS
2014 7TH ADVANCED SATELLITE MULTIMEDIA SYSTEMS CONFERENCE AND THE 13TH SIGNAL PROCESSING FOR SPACE COMMUNICATIONS WORKSHOP ASMS/SPSC	ADV SAT MULTMED SYS
"2013 ASIAN CONFERENCE ON THE SOCIAL SCIENCES ACSS 2013, PT 1"	ADV SOC BEHAV SCI
"2013 ASIAN CONFERENCE ON THE SOCIAL SCIENCES ACSS 2013, PT 2"	ADV SOC BEHAV SCI
"2013 INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES RESEARCH SSR 2013, PT 1"	ADV SOC BEHAV SCI
"2013 INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES RESEARCH SSR 2013, PT 2"	ADV SOC BEHAV SCI
2014 2ND ASIAN CONFERENCE ON THE SOCIAL SCIENCES ACSS 2014	ADV SOC BEHAV SCI
"2014 2ND INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES RESEARCH SSR 2014, PT 1"	ADV SOC BEHAV SCI
"2014 2ND INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES RESEARCH SSR 2014, PT 2"	ADV SOC BEHAV SCI
2015 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES RESEARCH SSR 2015	ADV SOC BEHAV SCI
2015 ACSS INTERNATIONAL CONFERENCE ON THE SOCIAL SCIENCES AND TEACHING RESEARCH ACSS-SSTR 2015	ADV SOC BEHAV SCI
"2015 INTERNATIONAL CONFERENCE ON EDUCATION RESEARCH AND REFORM ERR 2015, PT 1"	ADV SOC BEHAV SCI
"2015 INTERNATIONAL CONFERENCE ON EDUCATION RESEARCH AND REFORM ERR 2015, PT 2"	ADV SOC BEHAV SCI
"2015 SSR INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND INFORMATION SSR-SSI 2015, PT 1"	ADV SOC BEHAV SCI
"2015 SSR INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND INFORMATION SSR-SSI 2015, PT 2"	ADV SOC BEHAV SCI
"2015 SSR INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND INFORMATION SSR-SSI 2015, PT 3"	ADV SOC BEHAV SCI
2ND INTERNATIONAL WORKSHOP ON PRACTICAL APPLICATIONS OF COMPUTATIONAL BIOLOGY AND BIOINFORMATICS IWPACBB 2008	ADV SOFT COMP
3RD SYMPOSIUM OF UBIQUITOUS COMPUTING AND AMBIENT INTELLIGENCE 2008	ADV SOFT COMP
"1997 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 1"	AEROSP CONF PROC
"1998 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 1"	AEROSP CONF PROC
"2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 1"	AEROSP CONF PROC
"2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 2"	AEROSP CONF PROC
"2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 3"	AEROSP CONF PROC
"2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 4"	AEROSP CONF PROC
"2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 5"	AEROSP CONF PROC
"2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 6"	AEROSP CONF PROC
"2000 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOL 7"	AEROSP CONF PROC
"2001 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOLS 1-7"	AEROSP CONF PROC
"2002 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOLS 1-7"	AEROSP CONF PROC
"2003 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOLS 1-8"	AEROSP CONF PROC
"2004 IEEE AEROSPACE CONFERENCE PROCEEDINGS, VOLS 1-6"	AEROSP CONF PROC
"2005 IEEE Aerospace Conference, Vols 1-4"	AEROSP CONF PROC
"2006 IEEE Aerospace Conference, Vols 1-9"	AEROSP CONF PROC
"2007 IEEE AEROSPACE CONFERENCE, VOLS 1-9"	AEROSP CONF PROC
"2008 IEEE AEROSPACE CONFERENCE, VOLS 1-9"	AEROSP CONF PROC
"2009 IEEE AEROSPACE CONFERENCE, VOLS 1-7"	AEROSP CONF PROC
2011 IEEE AEROSPACE CONFERENCE	AEROSP CONF PROC
2012 IEEE AEROSPACE CONFERENCE	AEROSP CONF PROC
2013 IEEE AEROSPACE CONFERENCE	AEROSP CONF PROC
1ST INTERNATIONAL CONFERENCE ON ASIAN HIGHLAND NATURAL RESOURCES MANAGEMENT ASIAHILAND AND 2ND IDRC-SEARCA UPLAND FELLOWSHIP AND CONFERENCE	AGRIC AGRIC SCI PROC
2ND INTERNATIONAL CONFERENCE ON AGRICULTURAL AND FOOD ENGINEERING CAFE 2014 - NEW TRENDS FORWARD	AGRIC AGRIC SCI PROC
10TH ASIAN INTERNATIONAL CONFERENCE ON FLUID MACHINERY	AIP CONF PROC
