JounalTitle	JounalAbbreviation
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 11"	ADV EDUC RES
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 12"	ADV EDUC RES
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 2"	ADV EDUC RES
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 3"	ADV EDUC RES
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 4"	ADV EDUC RES
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 5"	ADV EDUC RES
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 6"	ADV EDUC RES
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 7"	ADV EDUC RES
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 8"	ADV EDUC RES
"2013 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2013, PT 9"	ADV EDUC RES
"2013 THE FOURTH INTERNATIONAL CONFERENCE ON INFORMATION, COMMUNICATION AND EDUCATION APPLICATION ICEA 2013, PT 1"	ADV EDUC RES
"2013 THE FOURTH INTERNATIONAL CONFERENCE ON INFORMATION, COMMUNICATION AND EDUCATION APPLICATION ICEA 2013, PT 2"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON ECONOMICS AND SOCIAL SCIENCE ICESS 2014, PT 1"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON ECONOMICS AND SOCIAL SCIENCE ICESS 2014, PT 2"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON PSYCHOLOGY, MANAGEMENT AND SOCIAL SCIENCE PMSS 2014, PT 1"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON PSYCHOLOGY, MANAGEMENT AND SOCIAL SCIENCE PMSS 2014, PT 2"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HEALTH ICSSH 2014, PT 1"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HEALTH ICSSH 2014, PT 2"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HEALTH ICSSH 2014, PT 3"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HEALTH ICSSH 2014, PT 4"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HEALTH ICSSH 2014, PT 5"	ADV EDUC RES
"2014 2ND INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HEALTH ICSSH 2014, PT 6"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON APPLIED SOCIAL SCIENCE ICASS 2014, PT 1"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON APPLIED SOCIAL SCIENCE ICASS 2014, PT 2"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON APPLIED SOCIAL SCIENCE ICASS 2014, PT 3"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON APPLIED SOCIAL SCIENCE ICASS 2014, PT 4"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION MANAGEMENT EEM 2014, PT 1"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION MANAGEMENT EEM 2014, PT 2"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION MANAGEMENT EEM 2014, PT 3"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION MANAGEMENT EEM 2014, PT 4"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION MANAGEMENT EEM 2014, PT 5"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION MANAGEMENT EEM 2014, PT 6"	ADV EDUC RES
"2014 4TH INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION MANAGEMENT EEM 2014, PT 7"	ADV EDUC RES
"2015 3RD INTERNATIONAL CONFERENCE ON EDUCATION REFORM AND MANAGEMENT INNOVATION ERMI 2015, PT 1"	ADV EDUC RES
"2015 3RD INTERNATIONAL CONFERENCE ON EDUCATION REFORM AND MANAGEMENT INNOVATION ERMI 2015, PT 2"	ADV EDUC RES
"2015 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HUMANITY ICSSH 2015, PT 1"	ADV EDUC RES
"2015 3RD INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE AND HUMANITY ICSSH 2015, PT 2"	ADV EDUC RES
"2015 4TH INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2015, PT 1"	ADV EDUC RES
"2015 4TH INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2015, PT 2"	ADV EDUC RES
"2015 4TH INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2015, PT 3"	ADV EDUC RES
"2015 4TH INTERNATIONAL CONFERENCE ON SOCIAL SCIENCES AND SOCIETY ICSSS 2015, PT 4"	ADV EDUC RES
"2015 5TH INTERNATIONAL CONFERENCE ON APPLIED SOCIAL SCIENCE ICASS 2015, PT 1"	ADV EDUC RES
"2015 5TH INTERNATIONAL CONFERENCE ON APPLIED SOCIAL SCIENCE ICASS 2015, PT 2"	ADV EDUC RES
"2015 5TH INTERNATIONAL CONFERENCE ON APPLIED SOCIAL SCIENCE ICASS 2015, PT 3"	ADV EDUC RES
"2015 5TH INTERNATIONAL CONFERENCE ON APPLIED SOCIAL SCIENCE ICASS 2015, PT 4"	ADV EDUC RES
"2015 INTERNATIONAL CONFERENCE ON PSYCHOLOGY, INFORMATION SCIENCE & LIBRARY SCIENCE PIL 2015"	ADV EDUC RES
"2015 THE 5TH INTERNATIONAL CONFERENCE ON INFORMATION, COMMUNICATION AND EDUCATION APPLICATION ICEA 2015"	ADV EDUC RES
"2013 INTERNATIONAL CONFERENCE ON CREATIVE EDUCATION ICCE 2013, VOL 1"	ADV EDUC SCI
"2013 INTERNATIONAL CONFERENCE ON CREATIVE EDUCATION ICCE 2013, VOL 2"	ADV EDUC SCI
2013 INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATIONAL RESEARCH EER 2013	ADV EDUC SCI
"2013 INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATIONAL RESEARCH EER 2013, VOL 2"	ADV EDUC SCI
"2015 2ND INTERNATIONAL CONFERENCE ON CREATIVE EDUCATION ICCE 2015, PT 1"	ADV EDUC SCI
"2015 2ND INTERNATIONAL CONFERENCE ON CREATIVE EDUCATION ICCE 2015, PT 2"	ADV EDUC SCI
"2015 2ND INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION RESEARCH EER 2015, PT 1"	ADV EDUC SCI
"2015 2ND INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION RESEARCH EER 2015, PT 2"	ADV EDUC SCI
"2015 2ND INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION RESEARCH EER 2015, PT 3"	ADV EDUC SCI
"2015 2ND INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION RESEARCH EER 2015, PT 4"	ADV EDUC SCI
"2015 2ND INTERNATIONAL CONFERENCE ON EDUCATION AND EDUCATION RESEARCH EER 2015, PT 5"	ADV EDUC SCI
"2014 INTERNATIONAL CONFERENCE ON CIVIL ENGINEERING, ENERGY AND ENVIRONMENT CEEE2014"	ADV ENG RES
5TH INTERNATIONAL CONFERENCE ON PRACTICAL APPLICATIONS OF COMPUTATIONAL BIOLOGY & BIOINFORMATICS PACBB 2011	ADV INTEL SOFT COMPU
6TH INTERNATIONAL CONFERENCE ON PRACTICAL APPLICATIONS OF COMPUTATIONAL BIOLOGY & BIOINFORMATICS	ADV INTEL SOFT COMPU
2010 INTERNATIONAL CONFERENCE ON MINE HAZARDS PREVENTION AND CONTROL	ADV INTEL SYS RES
